epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,804.441,1.06525,0.69394,1.30334,0.90248,0.90288,0.92043,0.52872,1.46722,0.68712,1.64725,0.0011882,0.0011882,0.0011882
43,825.954,1.03854,0.67902,1.28266,0.88678,0.88076,0.92506,0.5186,1.48937,0.71975,1.65854,0.0011684,0.0011684,0.0011684
44,846.059,1.03523,0.67291,1.28295,0.86617,0.85366,0.88311,0.51643,1.49509,0.79674,1.68697,0.0011486,0.0011486,0.0011486
45,866.021,1.02264,0.66681,1.27559,0.90783,0.86992,0.92902,0.56322,1.38009,0.69351,1.58206,0.0011288,0.0011288,0.0011288
46,886.903,1.0007,0.64791,1.27152,0.90076,0.81171,0.89382,0.50072,1.55858,0.81286,1.75389,0.001109,0.001109,0.001109
47,911.138,1.02664,0.65539,1.26454,0.9055,0.83094,0.89291,0.51561,1.54002,0.77409,1.75069,0.0010892,0.0010892,0.0010892
48,932.012,1.02365,0.61946,1.26426,0.93449,0.82927,0.90472,0.50027,1.5581,0.74868,1.74918,0.0010694,0.0010694,0.0010694
49,954.638,1.00393,0.62911,1.26367,0.91051,0.85481,0.91483,0.50627,1.57637,0.7358,1.7673,0.0010496,0.0010496,0.0010496
50,972.671,1.01139,0.6255,1.26888,0.91501,0.86992,0.92355,0.53845,1.4755,0.70808,1.69479,0.0010298,0.0010298,0.0010298
51,984.819,0.99426,0.6115,1.24875,0.90065,0.82656,0.87749,0.50472,1.45795,0.8198,1.67089,0.00101,0.00101,0.00101
52,997.087,0.97735,0.61031,1.24853,0.89764,0.85554,0.90825,0.52171,1.54622,0.74749,1.70433,0.0009902,0.0009902,0.0009902
53,1014.93,0.96748,0.59394,1.23611,0.9269,0.88076,0.92349,0.52424,1.50734,0.69581,1.71771,0.0009704,0.0009704,0.0009704
54,1035.97,0.98978,0.60267,1.2534,0.85623,0.79085,0.83809,0.49545,1.55986,0.86146,1.81128,0.0009506,0.0009506,0.0009506
55,1056.96,0.96305,0.59679,1.23616,0.87861,0.88265,0.91582,0.52023,1.5469,0.71933,1.74515,0.0009308,0.0009308,0.0009308
56,1077.87,0.97154,0.60125,1.23902,0.86226,0.8645,0.90926,0.5124,1.58068,0.76098,1.81,0.000911,0.000911,0.000911
57,1098.84,0.94949,0.58062,1.23302,0.88879,0.86631,0.9032,0.50427,1.53938,0.77001,1.72408,0.0008912,0.0008912,0.0008912
58,1120.49,0.93878,0.58275,1.22905,0.9044,0.85095,0.89525,0.52898,1.51674,0.76804,1.71059,0.0008714,0.0008714,0.0008714
59,1141.4,0.95354,0.58469,1.2252,0.90745,0.85033,0.89163,0.54851,1.44748,0.76896,1.66036,0.0008516,0.0008516,0.0008516
60,1162.86,0.9565,0.59051,1.22155,0.93441,0.84942,0.9272,0.51068,1.51742,0.6683,1.78824,0.0008318,0.0008318,0.0008318
61,1184.24,0.92622,0.57332,1.20367,0.92622,0.85054,0.90721,0.51935,1.50277,0.69441,1.73528,0.000812,0.000812,0.000812
62,1205.74,0.96328,0.5827,1.23584,0.94167,0.87501,0.92216,0.54374,1.47118,0.66322,1.65204,0.0007922,0.0007922,0.0007922
63,1227.31,0.94452,0.57708,1.21575,0.87021,0.86721,0.91037,0.47547,1.65012,0.7338,1.85491,0.0007724,0.0007724,0.0007724
64,1248.52,0.94005,0.56697,1.22243,0.91939,0.8916,0.93477,0.55548,1.45308,0.65979,1.67746,0.0007526,0.0007526,0.0007526
65,1270.07,0.90974,0.55387,1.20013,0.90888,0.88347,0.91661,0.54822,1.48603,0.65684,1.68894,0.0007328,0.0007328,0.0007328
66,1283.2,0.89332,0.55671,1.19989,0.89329,0.89973,0.92961,0.53863,1.48223,0.65131,1.69289,0.000713,0.000713,0.000713
67,1295.29,0.93637,0.56616,1.20922,0.90691,0.87127,0.92077,0.5337,1.46673,0.67688,1.71635,0.0006932,0.0006932,0.0006932
68,1307.37,0.91422,0.55784,1.18959,0.93279,0.86506,0.93928,0.57432,1.39612,0.62959,1.61644,0.0006734,0.0006734,0.0006734
69,1319.47,0.90489,0.55793,1.20449,0.93239,0.88076,0.92863,0.55358,1.44419,0.6426,1.68701,0.0006536,0.0006536,0.0006536
70,1331.45,0.89978,0.53636,1.18649,0.9496,0.86812,0.93644,0.55084,1.44816,0.6544,1.6759,0.0006338,0.0006338,0.0006338
71,1343.34,0.86975,0.54111,1.1709,0.92249,0.87083,0.92854,0.56169,1.41395,0.6594,1.65326,0.000614,0.000614,0.000614
72,1355.16,0.87154,0.52525,1.19431,0.89537,0.88123,0.92237,0.55351,1.45771,0.69407,1.71256,0.0005942,0.0005942,0.0005942
73,1367.33,0.87595,0.52913,1.18492,0.85583,0.84824,0.8987,0.52335,1.55929,0.76152,1.82275,0.0005744,0.0005744,0.0005744
74,1379.63,0.87207,0.5109,1.18543,0.90186,0.86721,0.9163,0.57322,1.4158,0.6813,1.65334,0.0005546,0.0005546,0.0005546
75,1391.74,0.84955,0.51472,1.16318,0.89957,0.84959,0.91051,0.54581,1.46369,0.72797,1.71775,0.0005348,0.0005348,0.0005348
76,1404.04,0.83097,0.5053,1.14901,0.9123,0.87534,0.93441,0.53977,1.51532,0.66327,1.74902,0.000515,0.000515,0.000515
77,1416.4,0.85535,0.50987,1.16426,0.93433,0.87805,0.93562,0.55844,1.47402,0.62389,1.69013,0.0004952,0.0004952,0.0004952
78,1428.39,0.83033,0.50288,1.15142,0.90184,0.87146,0.92137,0.53942,1.50314,0.69972,1.75478,0.0004754,0.0004754,0.0004754
79,1440.29,0.82221,0.49385,1.15352,0.90754,0.92683,0.94356,0.57451,1.44614,0.61773,1.67731,0.0004556,0.0004556,0.0004556
80,1452.14,0.81775,0.49671,1.15034,0.89588,0.86179,0.91203,0.53644,1.50157,0.72644,1.74856,0.0004358,0.0004358,0.0004358
81,1463.94,0.81923,0.49027,1.15752,0.88178,0.87805,0.92481,0.56089,1.44497,0.6712,1.68959,0.000416,0.000416,0.000416
82,1478.61,0.82548,0.50392,1.15908,0.91953,0.86711,0.92141,0.55323,1.47191,0.69791,1.7127,0.0003962,0.0003962,0.0003962
83,1490.19,0.81487,0.49027,1.14162,0.88167,0.82788,0.89433,0.53151,1.47861,0.77431,1.72487,0.0003764,0.0003764,0.0003764
84,1501.96,0.81899,0.48868,1.14825,0.88899,0.86811,0.91725,0.55475,1.4561,0.66934,1.68716,0.0003566,0.0003566,0.0003566
85,1513.6,0.79668,0.47553,1.13813,0.91089,0.88642,0.92783,0.57408,1.42624,0.65002,1.65895,0.0003368,0.0003368,0.0003368
86,1525.27,0.79599,0.48119,1.14794,0.93116,0.84311,0.92487,0.5484,1.47708,0.67777,1.71168,0.000317,0.000317,0.000317
87,1537.99,0.80972,0.48237,1.1397,0.87522,0.89431,0.92323,0.54602,1.48716,0.69573,1.72398,0.0002972,0.0002972,0.0002972
88,1554.37,0.79295,0.46557,1.13851,0.87669,0.90244,0.92917,0.54887,1.4866,0.63606,1.72221,0.0002774,0.0002774,0.0002774
89,1571.41,0.79301,0.47287,1.13227,0.90399,0.89307,0.93254,0.56853,1.47211,0.63289,1.71682,0.0002576,0.0002576,0.0002576
90,1590.77,0.77742,0.46892,1.12823,0.89927,0.89516,0.9328,0.56157,1.47622,0.63816,1.74282,0.0002378,0.0002378,0.0002378
91,1633.46,0.65023,0.37197,1.10513,0.9122,0.87285,0.92328,0.55353,1.43974,0.66203,1.70144,0.000218,0.000218,0.000218
92,1647.67,0.62003,0.34182,1.05986,0.90364,0.88946,0.92623,0.54798,1.48293,0.63654,1.74514,0.0001982,0.0001982,0.0001982
93,1667.7,0.63661,0.33361,1.07171,0.92616,0.88618,0.93458,0.55799,1.48159,0.61803,1.76494,0.0001784,0.0001784,0.0001784
94,1690.24,0.61828,0.33105,1.06415,0.91431,0.89431,0.92861,0.5593,1.4801,0.63612,1.77955,0.0001586,0.0001586,0.0001586
95,1715.3,0.60729,0.32228,1.06258,0.92777,0.87019,0.93329,0.57052,1.4524,0.64265,1.74562,0.0001388,0.0001388,0.0001388
96,1744.22,0.59131,0.31405,1.04739,0.92065,0.87534,0.92861,0.55637,1.47727,0.65441,1.76603,0.000119,0.000119,0.000119
97,1769.1,0.5935,0.3102,1.05336,0.90956,0.89702,0.93444,0.56515,1.47727,0.63935,1.7629,9.92e-05,9.92e-05,9.92e-05
98,1794.79,0.58385,0.31026,1.03765,0.92348,0.88618,0.93303,0.56405,1.45871,0.62189,1.76399,7.94e-05,7.94e-05,7.94e-05
99,1825.22,0.57324,0.30673,1.03135,0.90966,0.8916,0.93314,0.55794,1.48988,0.62309,1.80043,5.96e-05,5.96e-05,5.96e-05
100,1852.83,0.57274,0.3116,1.04026,0.91479,0.88889,0.93615,0.56632,1.46793,0.62248,1.75799,3.98e-05,3.98e-05,3.98e-05
